country,count
Iraq,11533
Afghanistan,6084
Pakistan,4793
India,3517
Philippines,2511
Yemen,1790
Somalia,1684
Libya,1558
Egypt,1553
Nigeria,1511
Ukraine,1496
Turkey,1199
Thailand,1198
Syria,1038
Bangladesh,713
West Bank and Gaza Strip,614
Colombia,582
United Kingdom,444
Israel,431
Sudan,386
Democratic Republic of the Congo,383
Mali,368
Nepal,339
Kenya,306
Lebanon,285
Saudi Arabia,264
Cameroon,218
Burundi,198
United States,190
Myanmar,185
Central African Republic,159
Russia,156
Germany,149
South Sudan,146
Greece,131
France,117
Mozambique,112
Indonesia,101
Ireland,92
Bahrain,82
South Africa,80
Sweden,70
Niger,65
Paraguay,56
China,54
Sri Lanka,51
Tunisia,50
Algeria,49
Mexico,49
Chile,48
Burkina Faso,44
Uganda,37
Iran,36
Australia,35
Malaysia,34
Italy,31
Peru,31
Ethiopia,30
Chad,30
Tanzania,30
Venezuela,29
Canada,26
Jordan,24
Kosovo,22
Ivory Coast,18
Japan,16
Czech Republic,14
Finland,13
Maldives,13
Brazil,12
Spain,12
Kyrgyzstan,11
Belgium,11
Netherlands,11
Cyprus,10
Bosnia-Herzegovina,9
Albania,9
Georgia,8
Macedonia,8
Argentina,7
Laos,7
Azerbaijan,7
Papua New Guinea,7
Tajikistan,7
Ecuador,6
Malta,5
Denmark,5
Rwanda,5
Bulgaria,4
Gabon,4
Zimbabwe,4
Austria,4
Armenia,4
Angola,4
Senegal,3
Honduras,3
Kazakhstan,3
Republic of the Congo,3
Hungary,3
Jamaica,3
Guinea,3
Kuwait,3
Sierra Leone,3
Poland,3
Taiwan,3
New Zealand,2
South Korea,2
Ghana,2
Estonia,2
United Arab Emirates,2
Madagascar,2
Nicaragua,2
Dominican Republic,2
Zambia,2
Vietnam,2
Liberia,2
Latvia,1
Moldova,1
Montenegro,1
Guyana,1
Serbia,1
Malawi,1
Turkmenistan,1
Uzbekistan,1
Lesotho,1
Trinidad and Tobago,1
Uruguay,1
Switzerland,1
Slovak Republic,1
Qatar,1
Panama,1
Norway,1
Iceland,1
Djibouti,1
